season,team,wins,losses,playoff_result,gm_stint_id,franchise_id,gm_name,gm_title,start_year,end_year,total_cap_pct,offensive_cap_pct,defensive_cap_pct,made_playoffs,wins_per_cap_pct
2011,ARI,8,8,MISSED,113,F_ARI,Rod Graves,General Manager,2003,2012,0.43000000000000005,0.35100000000000003,0.079,false,18.604651162790695
2011,ATL,10,6,WC,124,F_ATL,Thomas Dimitroff,General Manager,2008,2020,0.29200000000000004,0.2,0.066,true,34.246575342465746
2011,BAL,12,4,CONF,3,F_BAL_ORG,Ozzie Newsome,General Manager,2000,2018,0.27,0.094,0.176,true,44.44444444444444
2011,BUF,6,10,MISSED,39,F_BUF,Russ Brandon,CEO / De facto GM,2010,2013,0.351,0.133,0.218,false,17.094017094017094
2011,CAR,6,10,MISSED,127,F_CAR,Marty Hurney,General Manager,2002,2012,0.653,0.304,0.349,false,9.188361408882082
2011,CHI,8,8,MISSED,20,F_CHI,Jerry Angelo,General Manager,2001,2012,0.154,0.09,0.064,false,51.94805194805195
2011,CIN,9,7,WC,5,F_CIN,Mike Brown,Executive VP / De facto GM,2000,2099,0.391,0.21800000000000003,0.173,true,23.017902813299234
2011,CLE,4,12,MISSED,10,F_CLE_NEW,Tom Heckert,General Manager,2010,2012,0.326,0.12100000000000001,0.179,false,12.269938650306749
2011,DAL,8,8,MISSED,52,F_DAL,Jerry Jones,Owner / President / GM,2000,2099,0.29100000000000004,0.188,0.10300000000000001,false,27.491408934707902
2011,DEN,8,8,DIV,69,F_DEN,John Elway,Executive VP / GM,2011,2021,0.307,0.056,0.251,true,26.058631921824105
2011,DET,10,6,WC,31,F_DET,Martin Mayhew,General Manager,2008,2015,0.168,0.04,0.128,true,59.52380952380952
2011,GB,15,1,DIV,18,F_GB,Ted Thompson,General Manager,2005,2017,0.245,0.17600000000000002,0.06899999999999999,true,61.224489795918366
2011,HOU,10,6,DIV,89,F_HOU,Rick Smith,General Manager,2006,2017,0.302,0.127,0.17500000000000002,true,33.11258278145696
2011,IND,2,14,MISSED,85,F_IND,Bill Polian,President / GM,2000,2011,0.27299999999999996,0.20099999999999998,0.047,false,7.326007326007327
2011,JAX,5,11,MISSED,96,F_JAX,Gene Smith,General Manager,2009,2012,0.27499999999999997,0.144,0.131,false,18.181818181818183
